,SATimputed,HSGimputed
882,770.0,1.0
883,756.0,1.0
884,740.0,1.0
885,770.0,1.0
886,710.0,2.0
887,740.0,2.0
888,770.0,2.0
889,713.0,2.0
890,708.0,2.0
891,720.0,1.0
892,701.0,3.0
893,760.0,2.0
894,748.0,1.0
895,729.0,2.0
896,660.0,2.0
897,690.0,2.0
898,744.0,2.0
899,790.0,4.0
900,737.0,1.0
901,764.0,2.0
902,723.0,2.0
903,732.0,1.0
904,721.0,2.0
905,730.0,1.0
906,740.0,2.0
907,800.0,1.0
908,770.0,3.0
909,764.0,1.0
910,716.0,2.0
911,800.0,2.0
912,766.0,1.0
913,743.0,2.0
914,720.0,2.0
915,700.0,2.0
916,780.0,2.0
917,724.0,2.0
918,780.0,2.0
919,720.0,2.0
920,780.0,3.0
921,730.0,1.0
922,720.0,1.0
923,736.0,2.0
924,690.0,2.0
925,720.0,2.0
926,710.0,2.0
927,742.0,1.0
928,733.0,2.0
929,710.0,2.0
930,680.0,2.0
931,700.0,2.0
932,800.0,2.0
933,737.0,2.0
934,755.0,2.0
935,781.0,1.0
936,790.0,1.0
937,719.0,2.0
938,720.0,1.0
939,714.0,2.0
940,780.0,1.0
941,718.0,2.0
942,720.0,1.0
943,780.0,1.0
944,700.0,3.0
945,730.0,1.0
946,767.0,1.0
947,770.0,1.0
948,740.0,2.0
949,744.0,1.0
950,740.0,4.0
951,740.0,2.0
952,750.0,2.0
953,733.0,2.0
954,724.0,1.0
955,740.0,1.0
956,781.0,1.0
957,780.0,1.0
958,780.0,1.0
959,700.0,1.0
960,721.0,2.0
961,771.0,1.0
962,737.0,2.0
963,761.0,1.0
964,710.0,1.0
965,790.0,1.0
966,706.0,2.0
967,750.0,1.0
968,756.0,1.0
969,741.0,2.0
970,738.0,2.0
971,800.0,1.0
972,753.0,1.0
973,736.0,2.0
974,740.0,2.0
975,788.0,1.0
976,765.0,1.0
977,764.0,1.0
978,750.0,1.0
979,765.0,1.0
980,800.0,1.0
981,728.0,2.0
982,739.0,2.0
983,765.0,2.0
984,728.0,2.0
985,730.0,2.0
986,743.0,1.0
987,721.0,1.0
988,790.0,2.0
989,790.0,1.0
990,765.0,1.0
991,760.0,1.0
992,640.0,2.0
993,790.0,2.0
994,710.0,2.0
995,690.0,2.0
